componente,date,value
Poultry,2020/09,0
Poultry,2020/10,0
Poultry,2020/11,0
Poultry,2020/12,0
Poultry,2021/01,0
Poultry,2021/02,0
Poultry,2021/03,0
Poultry,2021/04,0
Poultry,2021/05,0.01
Poultry,2021/06,0.01
Poultry,2021/07,0.01
Poultry,2021/08,0.02
Poultry,2021/09,0.02
Poultry,2021/10,0.02
Other meats,2020/01,0
Other meats,2020/02,0
Other meats,2020/03,0
Other meats,2020/04,0
Other meats,2020/05,0
Other meats,2020/06,0
Other meats,2020/07,0
Other meats,2020/08,0
Other meats,2020/09,0
Other meats,2020/10,0
Other meats,2020/11,0
Other meats,2020/12,0
Other meats,2021/01,0
Other meats,2021/02,0
Other meats,2021/03,0
Other meats,2021/04,0
Other meats,2021/05,0
Other meats,2021/06,0
Other meats,2021/07,0
Other meats,2021/08,0
Other meats,2021/09,0
Other meats,2021/10,0
Edible offal,2020/01,0
Edible offal,2020/02,0
Edible offal,2020/03,0
Edible offal,2020/04,0
Edible offal,2020/05,0
Edible offal,2020/06,0
Edible offal,2020/07,0
Edible offal,2020/08,0
Edible offal,2020/09,0
Edible offal,2020/10,0
Edible offal,2020/11,0
Edible offal,2020/12,0
Edible offal,2021/01,0
Edible offal,2021/02,0
Edible offal,2021/03,0
Edible offal,2021/04,0
Edible offal,2021/05,0
Edible offal,2021/06,0
Edible offal,2021/07,0
Edible offal,2021/08,0
Edible offal,2021/09,0
Edible offal,2021/10,0
"Dried, salted or smoked meat",2020/01,0.059999999999999998
"Dried, salted or smoked meat",2020/02,0.080000000000000002
"Dried, salted or smoked meat",2020/03,0.080000000000000002
"Dried, salted or smoked meat",2020/04,0.080000000000000002
"Dried, salted or smoked meat",2020/05,0.080000000000000002
"Dried, salted or smoked meat",2020/06,0.070000000000000007
"Dried, salted or smoked meat",2020/07,0.059999999999999998
"Dried, salted or smoked meat",2020/08,0.050000000000000003
"Dried, salted or smoked meat",2020/09,0.040000000000000001
"Dried, salted or smoked meat",2020/10,0.040000000000000001
"Dried, salted or smoked meat",2020/11,0.040000000000000001
"Dried, salted or smoked meat",2020/12,0.029999999999999999
"Dried, salted or smoked meat",2021/01,0.02
"Dried, salted or smoked meat",2021/02,0.01
"Dried, salted or smoked meat",2021/03,0.01
"Dried, salted or smoked meat",2021/04,0
"Dried, salted or smoked meat",2021/05,0
"Dried, salted or smoked meat",2021/06,0
"Dried, salted or smoked meat",2021/07,0.01
"Dried, salted or smoked meat",2021/08,0.01
"Dried, salted or smoked meat",2021/09,0.01
"Dried, salted or smoked meat",2021/10,0.02
Other meat preparations,2020/01,0.02
Other meat preparations,2020/02,0.02
Other meat preparations,2020/03,0.02
Other meat preparations,2020/04,0.02
Other meat preparations,2020/05,0.02
Other meat preparations,2020/06,0.02
Other meat preparations,2020/07,0.02
Other meat preparations,2020/08,0.01
Other meat preparations,2020/09,0.01
Other meat preparations,2020/10,0.01
Other meat preparations,2020/11,0.01
Other meat preparations,2020/12,0.01
Other meat preparations,2021/01,0.01
Other meat preparations,2021/02,0
Other meat preparations,2021/03,0
Other meat preparations,2021/04,0
Other meat preparations,2021/05,0
Other meat preparations,2021/06,0
Other meat preparations,2021/07,0.01
Other meat preparations,2021/08,0.01
Other meat preparations,2021/09,0.01
Other meat preparations,2021/10,0.01
Fish and seafood,2020/01,0.02
Fish and seafood,2020/02,0.02
Fish and seafood,2020/03,0.029999999999999999
Fish and seafood,2020/04,0.040000000000000001
Fish and seafood,2020/05,0.02
Fish and seafood,2020/06,0.02
Fish and seafood,2020/07,0.01
Fish and seafood,2020/08,0.01
Fish and seafood,2020/09,0.01
Fish and seafood,2020/10,0.01
Fish and seafood,2020/11,0.01
Fish and seafood,2020/12,0.01
Fish and seafood,2021/01,0
Fish and seafood,2021/02,0.01
Fish and seafood,2021/03,0
Fish and seafood,2021/04,-0.01
Fish and seafood,2021/05,0
Fish and seafood,2021/06,0.01
Fish and seafood,2021/07,0.02
Fish and seafood,2021/08,0.02
Fish and seafood,2021/09,0.02
Fish and seafood,2021/10,0.029999999999999999
Fresh or chilled fish,2020/01,0.02
Fresh or chilled fish,2020/02,0.01
Fresh or chilled fish,2020/03,0.02
Fresh or chilled fish,2020/04,0.029999999999999999
Fresh or chilled fish,2020/05,0.01
Fresh or chilled fish,2020/06,0.01
Fresh or chilled fish,2020/07,0
Fresh or chilled fish,2020/08,0
Fresh or chilled fish,2020/09,0
Fresh or chilled fish,2020/10,0
Fresh or chilled fish,2020/11,0
Fresh or chilled fish,2020/12,0.01
Fresh or chilled fish,2021/01,0
Fresh or chilled fish,2021/02,0
Fresh or chilled fish,2021/03,0
Fresh or chilled fish,2021/04,-0.01
Fresh or chilled fish,2021/05,0
Fresh or chilled fish,2021/06,0
Fresh or chilled fish,2021/07,0.01
Fresh or chilled fish,2021/08,0.01
Fresh or chilled fish,2021/09,0.01
Fresh or chilled fish,2021/10,0.02
Frozen fish,2020/01,0
Frozen fish,2020/02,0
Frozen fish,2020/03,0
Frozen fish,2020/04,0
Frozen fish,2020/05,0
Frozen fish,2020/06,0
Frozen fish,2020/07,0
Frozen fish,2020/08,0
Frozen fish,2020/09,0
Frozen fish,2020/10,0
Frozen fish,2020/11,0
Frozen fish,2020/12,0
Frozen fish,2021/01,0
Frozen fish,2021/02,0
Frozen fish,2021/03,0
Frozen fish,2021/04,0
Frozen fish,2021/05,0
Frozen fish,2021/06,0
Frozen fish,2021/07,0
Frozen fish,2021/08,0
Frozen fish,2021/09,0
Frozen fish,2021/10,0
Fresh or chilled seafood,2020/01,0
Fresh or chilled seafood,2020/02,0
Fresh or chilled seafood,2020/03,0
Fresh or chilled seafood,2020/04,0
Fresh or chilled seafood,2020/05,0
Fresh or chilled seafood,2020/06,0
Fresh or chilled seafood,2020/07,0
Fresh or chilled seafood,2020/08,0
Fresh or chilled seafood,2020/09,0
Fresh or chilled seafood,2020/10,0
Fresh or chilled seafood,2020/11,0
Fresh or chilled seafood,2020/12,0
Fresh or chilled seafood,2021/01,0
Fresh or chilled seafood,2021/02,0
Fresh or chilled seafood,2021/03,0
Fresh or chilled seafood,2021/04,0
Fresh or chilled seafood,2021/05,0
Fresh or chilled seafood,2021/06,0
Fresh or chilled seafood,2021/07,0
Fresh or chilled seafood,2021/08,0
Fresh or chilled seafood,2021/09,0
Fresh or chilled seafood,2021/10,0
Frozen seafood,2020/01,0
Frozen seafood,2020/02,0
Frozen seafood,2020/03,0
Frozen seafood,2020/04,0
Frozen seafood,2020/05,0
Frozen seafood,2020/06,0
Frozen seafood,2020/07,0
Frozen seafood,2020/08,0
Frozen seafood,2020/09,0
Frozen seafood,2020/10,0
Frozen seafood,2020/11,0
Frozen seafood,2020/12,0
Frozen seafood,2021/01,0
Frozen seafood,2021/02,0
Frozen seafood,2021/03,0
Frozen seafood,2021/04,0
Frozen seafood,2021/05,0
Frozen seafood,2021/06,0
Frozen seafood,2021/07,0
Frozen seafood,2021/08,0
Frozen seafood,2021/09,0
Frozen seafood,2021/10,0
"Dried, smoked or salted fish and seafood",2020/01,0
"Dried, smoked or salted fish and seafood",2020/02,0
"Dried, smoked or salted fish and seafood",2020/03,0
"Dried, smoked or salted fish and seafood",2020/04,0
"Dried, smoked or salted fish and seafood",2020/05,0
"Dried, smoked or salted fish and seafood",2020/06,0
"Dried, smoked or salted fish and seafood",2020/07,0
"Dried, smoked or salted fish and seafood",2020/08,0
"Dried, smoked or salted fish and seafood",2020/09,0
"Dried, smoked or salted fish and seafood",2020/10,0
"Dried, smoked or salted fish and seafood",2020/11,0
"Dried, smoked or salted fish and seafood",2020/12,0
"Dried, smoked or salted fish and seafood",2021/01,0
"Dried, smoked or salted fish and seafood",2021/02,0
"Dried, smoked or salted fish and seafood",2021/03,0
"Dried, smoked or salted fish and seafood",2021/04,0
"Dried, smoked or salted fish and seafood",2021/05,0
"Dried, smoked or salted fish and seafood",2021/06,0
"Dried, smoked or salted fish and seafood",2021/07,0
"Dried, smoked or salted fish and seafood",2021/08,0
"Dried, smoked or salted fish and seafood",2021/09,0
"Dried, smoked or salted fish and seafood",2021/10,0
Other preserved or processed fish and seafood and fish and seafood preparations,2020/01,0
Other preserved or processed fish and seafood and fish and seafood preparations,2020/02,0
Other preserved or processed fish and seafood and fish and seafood preparations,2020/03,0
Other preserved or processed fish and seafood and fish and seafood preparations,2020/04,0
Other preserved or processed fish and seafood and fish and seafood preparations,2020/05,0
Other preserved or processed fish and seafood and fish and seafood preparations,2020/06,0
Other preserved or processed fish and seafood and fish and seafood preparations,2020/07,0
Other preserved or processed fish and seafood and fish and seafood preparations,2020/08,0
Other preserved or processed fish and seafood and fish and seafood preparations,2020/09,0
Other preserved or processed fish and seafood and fish and seafood preparations,2020/10,0
Other preserved or processed fish and seafood and fish and seafood preparations,2020/11,0
Other preserved or processed fish and seafood and fish and seafood preparations,2020/12,0
Other preserved or processed fish and seafood and fish and seafood preparations,2021/01,0
Other preserved or processed fish and seafood and fish and seafood preparations,2021/02,0
Other preserved or processed fish and seafood and fish and seafood preparations,2021/03,0
Other preserved or processed fish and seafood and fish and seafood preparations,2021/04,0
Other preserved or processed fish and seafood and fish and seafood preparations,2021/05,0
Other preserved or processed fish and seafood and fish and seafood preparations,2021/06,0
Other preserved or processed fish and seafood and fish and seafood preparations,2021/07,0
Other preserved or processed fish and seafood and fish and seafood preparations,2021/08,0
Other preserved or processed fish and seafood and fish and seafood preparations,2021/09,0
Other preserved or processed fish and seafood and fish and seafood preparations,2021/10,0
"Milk, cheese and eggs",2020/01,0.02
"Milk, cheese and eggs",2020/02,0.02
"Milk, cheese and eggs",2020/03,0.02
"Milk, cheese and eggs",2020/04,0.029999999999999999
"Milk, cheese and eggs",2020/05,0.029999999999999999
"Milk, cheese and eggs",2020/06,0.029999999999999999
"Milk, cheese and eggs",2020/07,0.01
"Milk, cheese and eggs",2020/08,0.01
"Milk, cheese and eggs",2020/09,0.01
"Milk, cheese and eggs",2020/10,0.01
"Milk, cheese and eggs",2020/11,0
"Milk, cheese and eggs",2020/12,0.01
"Milk, cheese and eggs",2021/01,0.01
"Milk, cheese and eggs",2021/02,0.02
"Milk, cheese and eggs",2021/03,0.01
"Milk, cheese and eggs",2021/04,0.01
"Milk, cheese and eggs",2021/05,0.01
"Milk, cheese and eggs",2021/06,0.02
"Milk, cheese and eggs",2021/07,0.029999999999999999
"Milk, cheese and eggs",2021/08,0.029999999999999999
"Milk, cheese and eggs",2021/09,0.040000000000000001
"Milk, cheese and eggs",2021/10,0.050000000000000003
Fresh whole milk,2020/01,0
Fresh whole milk,2020/02,0
Fresh whole milk,2020/03,0
Fresh whole milk,2020/04,0
Fresh whole milk,2020/05,0
Fresh whole milk,2020/06,0
Fresh whole milk,2020/07,0
Fresh whole milk,2020/08,0
Fresh whole milk,2020/09,0
Fresh whole milk,2020/10,0
Fresh whole milk,2020/11,0
Fresh whole milk,2020/12,0
Fresh whole milk,2021/01,0
Fresh whole milk,2021/02,0
Fresh whole milk,2021/03,0
Fresh whole milk,2021/04,0
Fresh whole milk,2021/05,0
Fresh whole milk,2021/06,0
Fresh whole milk,2021/07,0
Fresh whole milk,2021/08,0
Fresh whole milk,2021/09,0
Fresh whole milk,2021/10,0
Fresh low fat milk,2020/01,0
Fresh low fat milk,2020/02,0
Fresh low fat milk,2020/03,0
Fresh low fat milk,2020/04,0
Fresh low fat milk,2020/05,0
Fresh low fat milk,2020/06,0
Fresh low fat milk,2020/07,0
Fresh low fat milk,2020/08,0
Fresh low fat milk,2020/09,0
Fresh low fat milk,2020/10,0
Fresh low fat milk,2020/11,0
Fresh low fat milk,2020/12,0
Fresh low fat milk,2021/01,0
Fresh low fat milk,2021/02,0
Fresh low fat milk,2021/03,0
Fresh low fat milk,2021/04,0
Fresh low fat milk,2021/05,0
Fresh low fat milk,2021/06,0
Fresh low fat milk,2021/07,0
Fresh low fat milk,2021/08,0
Fresh low fat milk,2021/09,0
Fresh low fat milk,2021/10,0.01
Preserved milk,2020/01,0
Preserved milk,2020/02,0
Preserved milk,2020/03,0
Preserved milk,2020/04,0
Preserved milk,2020/05,0
Preserved milk,2020/06,0
Preserved milk,2020/07,0
Preserved milk,2020/08,0
Preserved milk,2020/09,0
Preserved milk,2020/10,0
Preserved milk,2020/11,0
Preserved milk,2020/12,0
Preserved milk,2021/01,0
Preserved milk,2021/02,0
Preserved milk,2021/03,0
Preserved milk,2021/04,0
Preserved milk,2021/05,0
Preserved milk,2021/06,0
Preserved milk,2021/07,0
Preserved milk,2021/08,0
Preserved milk,2021/09,0
Preserved milk,2021/10,0
Yoghurt,2020/01,0
Yoghurt,2020/02,0
Yoghurt,2020/03,0
Yoghurt,2020/04,0
Yoghurt,2020/05,0.01
Yoghurt,2020/06,0
Yoghurt,2020/07,0
Yoghurt,2020/08,0
Yoghurt,2020/09,0
Yoghurt,2020/10,0
Yoghurt,2020/11,0
Yoghurt,2020/12,0
Yoghurt,2021/01,0
Yoghurt,2021/02,0
Yoghurt,2021/03,0
Yoghurt,2021/04,0
Yoghurt,2021/05,0
Yoghurt,2021/06,0
Yoghurt,2021/07,0
Yoghurt,2021/08,0
Yoghurt,2021/09,0
Yoghurt,2021/10,0
Cheese and curd,2020/01,0.01
Cheese and curd,2020/02,0.01
Cheese and curd,2020/03,0.01
Cheese and curd,2020/04,0.01
Cheese and curd,2020/05,0.01
Cheese and curd,2020/06,0.01
Cheese and curd,2020/07,0
Cheese and curd,2020/08,0
Cheese and curd,2020/09,0
Cheese and curd,2020/10,0
Cheese and curd,2020/11,0
Cheese and curd,2020/12,0
Cheese and curd,2021/01,0.01
Cheese and curd,2021/02,0.01
Cheese and curd,2021/03,0.01
Cheese and curd,2021/04,0.01
Cheese and curd,2021/05,0.01
Cheese and curd,2021/06,0.01
Cheese and curd,2021/07,0.02
Cheese and curd,2021/08,0.02
Cheese and curd,2021/09,0.02
Cheese and curd,2021/10,0.02
Other milk products,2020/01,0
Other milk products,2020/02,0
Other milk products,2020/03,0
Other milk products,2020/04,0
Other milk products,2020/05,0
Other milk products,2020/06,0
Other milk products,2020/07,0
Other milk products,2020/08,0
Other milk products,2020/09,0
Other milk products,2020/10,0
Other milk products,2020/11,0
Other milk products,2020/12,0
Other milk products,2021/01,0
Other milk products,2021/02,0
Other milk products,2021/03,0
Other milk products,2021/04,0
Other milk products,2021/05,0
Other milk products,2021/06,0
Other milk products,2021/07,0
Other milk products,2021/08,0
Other milk products,2021/09,0
Other milk products,2021/10,0
Eggs,2020/01,0
Eggs,2020/02,0
Eggs,2020/03,0
Eggs,2020/04,0
Eggs,2020/05,0
Eggs,2020/06,0
Eggs,2020/07,0
Eggs,2020/08,0
Eggs,2020/09,0
Eggs,2020/10,0
Eggs,2020/11,0
Eggs,2020/12,0
Eggs,2021/01,0
Eggs,2021/02,0
Eggs,2021/03,0
Eggs,2021/04,0
Eggs,2021/05,0
Eggs,2021/06,0
Eggs,2021/07,0.01
Eggs,2021/08,0.01
Eggs,2021/09,0.01
Eggs,2021/10,0.01
Oils and fats,2020/01,-0.01
Oils and fats,2020/02,-0.01
Oils and fats,2020/03,-0.01
Oils and fats,2020/04,-0.01
Oils and fats,2020/05,-0.01
Oils and fats,2020/06,-0.01
Oils and fats,2020/07,-0.01
Oils and fats,2020/08,-0.01
Oils and fats,2020/09,-0.01
Oils and fats,2020/10,-0.01
Oils and fats,2020/11,-0.01
Oils and fats,2020/12,-0.01
Oils and fats,2021/01,-0.01
Oils and fats,2021/02,0
Oils and fats,2021/03,0
Oils and fats,2021/04,0.01
Oils and fats,2021/05,0.01
Oils and fats,2021/06,0.02
Oils and fats,2021/07,0.029999999999999999
Oils and fats,2021/08,0.029999999999999999
Oils and fats,2021/09,0.040000000000000001
Oils and fats,2021/10,0.040000000000000001
Butter,2020/01,-0.01
Butter,2020/02,-0.01
Butter,2020/03,0
Butter,2020/04,0
Butter,2020/05,0
Butter,2020/06,0
Butter,2020/07,0
Butter,2020/08,0
Butter,2020/09,0
Butter,2020/10,0
Butter,2020/11,0
Butter,2020/12,0
Butter,2021/01,0
Butter,2021/02,0
Butter,2021/03,0
Butter,2021/04,0
Butter,2021/05,0
Butter,2021/06,0
Butter,2021/07,0
Butter,2021/08,0
Butter,2021/09,0
Butter,2021/10,0
Margarine and other vegetable fats,2020/01,0
Margarine and other vegetable fats,2020/02,0
Margarine and other vegetable fats,2020/03,0
Margarine and other vegetable fats,2020/04,0
Margarine and other vegetable fats,2020/05,0
Margarine and other vegetable fats,2020/06,0
Margarine and other vegetable fats,2020/07,0
Margarine and other vegetable fats,2020/08,0
Margarine and other vegetable fats,2020/09,0
Margarine and other vegetable fats,2020/10,0
Margarine and other vegetable fats,2020/11,0
Margarine and other vegetable fats,2020/12,0
Margarine and other vegetable fats,2021/01,0
Margarine and other vegetable fats,2021/02,0
Margarine and other vegetable fats,2021/03,0
Margarine and other vegetable fats,2021/04,0
Margarine and other vegetable fats,2021/05,0
Margarine and other vegetable fats,2021/06,0
Margarine and other vegetable fats,2021/07,0
Margarine and other vegetable fats,2021/08,0
Margarine and other vegetable fats,2021/09,0
Margarine and other vegetable fats,2021/10,0
Olive oil,2020/01,-0.01
Olive oil,2020/02,-0.01
Olive oil,2020/03,-0.01
Olive oil,2020/04,-0.01
Olive oil,2020/05,-0.01
Olive oil,2020/06,-0.01
Olive oil,2020/07,-0.01
Olive oil,2020/08,-0.01
Olive oil,2020/09,-0.01
Olive oil,2020/10,-0.01
Olive oil,2020/11,-0.01
Olive oil,2020/12,-0.01
Olive oil,2021/01,-0.01
Olive oil,2021/02,0
Olive oil,2021/03,0
Olive oil,2021/04,0
Olive oil,2021/05,0
Olive oil,2021/06,0
Olive oil,2021/07,0.01
Olive oil,2021/08,0.02
Olive oil,2021/09,0.02
Olive oil,2021/10,0.02
Other edible oils,2020/01,0
Other edible oils,2020/02,0
Other edible oils,2020/03,0
Other edible oils,2020/04,0
Other edible oils,2020/05,0
Other edible oils,2020/06,0
Other edible oils,2020/07,0
Other edible oils,2020/08,0
Other edible oils,2020/09,0
Other edible oils,2020/10,0
Other edible oils,2020/11,0
Other edible oils,2020/12,0
Other edible oils,2021/01,0
Other edible oils,2021/02,0
Other edible oils,2021/03,0
Other edible oils,2021/04,0.01
Other edible oils,2021/05,0.01
Other edible oils,2021/06,0.01
Other edible oils,2021/07,0.01
Other edible oils,2021/08,0.01
Other edible oils,2021/09,0.01
Other edible oils,2021/10,0.01
Other edible animal fats,2020/01,0
Other edible animal fats,2020/02,0
Other edible animal fats,2020/03,0
Other edible animal fats,2020/04,0
Other edible animal fats,2020/05,0
Other edible animal fats,2020/06,0
Other edible animal fats,2020/07,0
Other edible animal fats,2020/08,0
Other edible animal fats,2020/09,0
Other edible animal fats,2020/10,0
Other edible animal fats,2020/11,0
Other edible animal fats,2020/12,0
Other edible animal fats,2021/01,0
Other edible animal fats,2021/02,0
Other edible animal fats,2021/03,0
